民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,1,板橋區,,,,無年齡維度,0.0,女,不識字,未分,2631
108,,1,板橋區,,,,無年齡維度,0.0,女,二專,畢業,15785
108,,1,板橋區,,,,無年齡維度,0.0,女,二專,肄業,2048
108,,1,板橋區,,,,無年齡維度,0.0,女,五專前三年,肄業,1701
108,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,畢業,11001
108,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,肄業,607
108,,1,板橋區,,,,無年齡維度,0.0,女,博士,畢業,478
108,,1,板橋區,,,,無年齡維度,0.0,女,博士,肄業,296
108,,1,板橋區,,,,無年齡維度,0.0,女,國中,畢業,27096
108,,1,板橋區,,,,無年齡維度,0.0,女,國中,肄業,2992
108,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),畢業,446
108,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),肄業,90
108,,1,板橋區,,,,無年齡維度,0.0,女,國小,畢業,28241
108,,1,板橋區,,,,無年齡維度,0.0,女,國小,肄業,2538
108,,1,板橋區,,,,無年齡維度,0.0,女,大學,畢業,57906
108,,1,板橋區,,,,無年齡維度,0.0,女,大學,肄業,14478
108,,1,板橋區,,,,無年齡維度,0.0,女,碩士,畢業,10969
108,,1,板橋區,,,,無年齡維度,0.0,女,碩士,肄業,3064
108,,1,板橋區,,,,無年齡維度,0.0,女,自學,未分,785
108,,1,板橋區,,,,無年齡維度,0.0,女,高中,畢業,15234
108,,1,板橋區,,,,無年齡維度,0.0,女,高中,肄業,6364
108,,1,板橋區,,,,無年齡維度,0.0,女,高職,畢業,39333
108,,1,板橋區,,,,無年齡維度,0.0,女,高職,肄業,6498
108,,1,板橋區,,,,無年齡維度,0.0,男,不識字,未分,291
108,,1,板橋區,,,,無年齡維度,0.0,男,二專,畢業,13606
108,,1,板橋區,,,,無年齡維度,0.0,男,二專,肄業,2827
108,,1,板橋區,,,,無年齡維度,0.0,男,五專前三年,肄業,1109
108,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,畢業,12090
108,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,肄業,938
108,,1,板橋區,,,,無年齡維度,0.0,男,博士,畢業,1304
108,,1,板橋區,,,,無年齡維度,0.0,男,博士,肄業,703
108,,1,板橋區,,,,無年齡維度,0.0,男,國中,畢業,23479
108,,1,板橋區,,,,無年齡維度,0.0,男,國中,肄業,3144
108,,1,板橋區,,,,無年齡維度,0.0,男,國中(職業),畢業,365
108,,1,板橋區,,,,無年齡維度,0.0,男,國中(職業),肄業,118
108,,1,板橋區,,,,無年齡維度,0.0,男,國小,畢業,15447
108,,1,板橋區,,,,無年齡維度,0.0,男,國小,肄業,1023
108,,1,板橋區,,,,無年齡維度,0.0,男,大學,畢業,50460
108,,1,板橋區,,,,無年齡維度,0.0,男,大學,肄業,16547
108,,1,板橋區,,,,無年齡維度,0.0,男,碩士,畢業,16978
108,,1,板橋區,,,,無年齡維度,0.0,男,碩士,肄業,3932
108,,1,板橋區,,,,無年齡維度,0.0,男,自學,未分,230
108,,1,板橋區,,,,無年齡維度,0.0,男,高中,畢業,15366
108,,1,板橋區,,,,無年齡維度,0.0,男,高中,肄業,7348
108,,1,板橋區,,,,無年齡維度,0.0,男,高職,畢業,35744
108,,1,板橋區,,,,無年齡維度,0.0,男,高職,肄業,9930
