民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,migrants,4
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,migrants,3
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,other,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,other,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,3
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,2
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,合計,9
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,合計,3
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,國外,2
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,國外,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,新北市內,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,新北市內,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,桃園市,1
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,桃園市,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,福建省,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,福建省,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,臺中市,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,臺中市,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,臺北市,1
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,臺北市,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,臺南市,1
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,臺南市,1
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,臺灣省,1
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,臺灣省,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷入,高雄市,0
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷入,高雄市,0
114,1,22,三芝區,,,,無年齡維度,0.0,女,遷出,migrants,4
114,1,22,三芝區,,,,無年齡維度,0.0,男,遷出,migrants,3
