民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,migrants,17
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,migrants,8
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,other,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,other,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,17
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,20
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,合計,33
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,合計,35
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,國外,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,國外,1
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,桃園市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,桃園市,1
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺中市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺北市,1
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺北市,4
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺南市,1
107,1,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺南市,0
107,1,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺灣省,10
