民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,migrants,821
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,migrants,681
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,other,0
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,other,0
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,437
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,322
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,合計,1047
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,合計,835
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,國外,43
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,國外,35
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,新北市內,0
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,新北市內,0
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,桃園市,50
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,桃園市,39
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,福建省,3
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,福建省,5
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺中市,37
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺中市,23
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺北市,281
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺北市,269
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺南市,11
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺南市,14
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,臺灣省,138
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,臺灣省,99
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷入,高雄市,24
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷入,高雄市,16
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,migrants,821
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,migrants,681
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,other,0
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,other,0
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,450
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,392
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,合計,957
108,1,1,板橋區,,,,無年齡維度,0.0,男,遷出,合計,879
108,1,1,板橋區,,,,無年齡維度,0.0,女,遷出,國外,65
