民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,4,永和區,0歲,0,0,不相關,0.0,男,375
113,1,4,永和區,0歲,0,0,不相關,0.0,女,395
113,1,4,永和區,1歲,1,1,不相關,0.0,男,498
113,1,4,永和區,1歲,1,1,不相關,0.0,女,484
113,1,4,永和區,2歲,2,2,不相關,0.0,男,560
113,1,4,永和區,2歲,2,2,不相關,0.0,女,518
113,1,4,永和區,3歲,3,3,不相關,0.0,男,579
113,1,4,永和區,3歲,3,3,不相關,0.0,女,525
113,1,4,永和區,4歲,4,4,不相關,0.0,男,684
113,1,4,永和區,4歲,4,4,不相關,0.0,女,614
113,1,4,永和區,5歲,5,5,不相關,0.0,男,723
113,1,4,永和區,5歲,5,5,不相關,0.0,女,641
113,1,4,永和區,6歲,6,6,不相關,0.0,男,792
113,1,4,永和區,6歲,6,6,不相關,0.0,女,806
113,1,4,永和區,7歲,7,7,不相關,0.0,男,942
113,1,4,永和區,7歲,7,7,不相關,0.0,女,850
113,1,4,永和區,8歲,8,8,不相關,0.0,男,967
113,1,4,永和區,8歲,8,8,不相關,0.0,女,963
113,1,4,永和區,9歲,9,9,不相關,0.0,男,1048
113,1,4,永和區,9歲,9,9,不相關,0.0,女,967
113,1,4,永和區,10歲,10,10,不相關,0.0,男,981
113,1,4,永和區,10歲,10,10,不相關,0.0,女,889
113,1,4,永和區,11歲,11,11,不相關,0.0,男,1285
113,1,4,永和區,11歲,11,11,不相關,0.0,女,1286
113,1,4,永和區,12歲,12,12,不相關,0.0,男,1180
113,1,4,永和區,12歲,12,12,不相關,0.0,女,1051
113,1,4,永和區,13歲,13,13,不相關,0.0,男,884
113,1,4,永和區,13歲,13,13,不相關,0.0,女,834
113,1,4,永和區,14歲,14,14,不相關,0.0,男,926
113,1,4,永和區,14歲,14,14,不相關,0.0,女,861
113,1,4,永和區,15歲,15,15,不相關,0.0,男,901
113,1,4,永和區,15歲,15,15,不相關,0.0,女,898
113,1,4,永和區,16歲,16,16,不相關,0.0,男,938
113,1,4,永和區,16歲,16,16,不相關,0.0,女,884
113,1,4,永和區,17歲,17,17,不相關,0.0,男,926
113,1,4,永和區,17歲,17,17,不相關,0.0,女,827
113,1,4,永和區,18歲,18,18,完全落入,1.0,男,883
113,1,4,永和區,18歲,18,18,完全落入,1.0,女,819
113,1,4,永和區,19歲,19,19,完全落入,1.0,男,961
113,1,4,永和區,19歲,19,19,完全落入,1.0,女,809
113,1,4,永和區,20歲,20,20,完全落入,1.0,男,905
113,1,4,永和區,20歲,20,20,完全落入,1.0,女,895
113,1,4,永和區,21歲,21,21,完全落入,1.0,男,1059
113,1,4,永和區,21歲,21,21,完全落入,1.0,女,967
113,1,4,永和區,22歲,22,22,完全落入,1.0,男,1008
113,1,4,永和區,22歲,22,22,完全落入,1.0,女,901
113,1,4,永和區,23歲,23,23,完全落入,1.0,男,1197
113,1,4,永和區,23歲,23,23,完全落入,1.0,女,1206
113,1,4,永和區,24歲,24,24,完全落入,1.0,男,1147
113,1,4,永和區,24歲,24,24,完全落入,1.0,女,1092
113,1,4,永和區,25歲,25,25,完全落入,1.0,男,1065
113,1,4,永和區,25歲,25,25,完全落入,1.0,女,1017
113,1,4,永和區,26歲,26,26,完全落入,1.0,男,1336
113,1,4,永和區,26歲,26,26,完全落入,1.0,女,1216
113,1,4,永和區,27歲,27,27,完全落入,1.0,男,1297
113,1,4,永和區,27歲,27,27,完全落入,1.0,女,1213
113,1,4,永和區,28歲,28,28,完全落入,1.0,男,1322
113,1,4,永和區,28歲,28,28,完全落入,1.0,女,1206
113,1,4,永和區,29歲,29,29,完全落入,1.0,男,1254
113,1,4,永和區,29歲,29,29,完全落入,1.0,女,1243
113,1,4,永和區,30歲,30,30,完全落入,1.0,男,1293
113,1,4,永和區,30歲,30,30,完全落入,1.0,女,1207
113,1,4,永和區,31歲,31,31,完全落入,1.0,男,1280
113,1,4,永和區,31歲,31,31,完全落入,1.0,女,1189
113,1,4,永和區,32歲,32,32,完全落入,1.0,男,1326
113,1,4,永和區,32歲,32,32,完全落入,1.0,女,1197
113,1,4,永和區,33歲,33,33,完全落入,1.0,男,1285
113,1,4,永和區,33歲,33,33,完全落入,1.0,女,1235
113,1,4,永和區,34歲,34,34,完全落入,1.0,男,1223
113,1,4,永和區,34歲,34,34,完全落入,1.0,女,1209
113,1,4,永和區,35歲,35,35,完全落入,1.0,男,1358
113,1,4,永和區,35歲,35,35,完全落入,1.0,女,1345
113,1,4,永和區,36歲,36,36,不相關,0.0,男,1175
113,1,4,永和區,36歲,36,36,不相關,0.0,女,1223
113,1,4,永和區,37歲,37,37,不相關,0.0,男,1163
113,1,4,永和區,37歲,37,37,不相關,0.0,女,1225
113,1,4,永和區,38歲,38,38,不相關,0.0,男,1314
113,1,4,永和區,38歲,38,38,不相關,0.0,女,1439
113,1,4,永和區,39歲,39,39,不相關,0.0,男,1503
113,1,4,永和區,39歲,39,39,不相關,0.0,女,1514
113,1,4,永和區,40歲,40,40,不相關,0.0,男,1503
113,1,4,永和區,40歲,40,40,不相關,0.0,女,1580
113,1,4,永和區,41歲,41,41,不相關,0.0,男,1537
113,1,4,永和區,41歲,41,41,不相關,0.0,女,1801
113,1,4,永和區,42歲,42,42,不相關,0.0,男,1604
113,1,4,永和區,42歲,42,42,不相關,0.0,女,1824
113,1,4,永和區,43歲,43,43,不相關,0.0,男,1584
113,1,4,永和區,43歲,43,43,不相關,0.0,女,1918
113,1,4,永和區,44歲,44,44,不相關,0.0,男,1730
113,1,4,永和區,44歲,44,44,不相關,0.0,女,1973
113,1,4,永和區,45歲,45,45,不相關,0.0,男,1728
113,1,4,永和區,45歲,45,45,不相關,0.0,女,1909
113,1,4,永和區,46歲,46,46,不相關,0.0,男,1478
113,1,4,永和區,46歲,46,46,不相關,0.0,女,1796
113,1,4,永和區,47歲,47,47,不相關,0.0,男,1785
113,1,4,永和區,47歲,47,47,不相關,0.0,女,2105
113,1,4,永和區,48歲,48,48,不相關,0.0,男,1547
113,1,4,永和區,48歲,48,48,不相關,0.0,女,1737
113,1,4,永和區,49歲,49,49,不相關,0.0,男,1625
113,1,4,永和區,49歲,49,49,不相關,0.0,女,1720
113,1,4,永和區,50歲,50,50,不相關,0.0,男,1596
113,1,4,永和區,50歲,50,50,不相關,0.0,女,1775
113,1,4,永和區,51歲,51,51,不相關,0.0,男,1506
113,1,4,永和區,51歲,51,51,不相關,0.0,女,1743
113,1,4,永和區,52歲,52,52,不相關,0.0,男,1539
113,1,4,永和區,52歲,52,52,不相關,0.0,女,1719
113,1,4,永和區,53歲,53,53,不相關,0.0,男,1553
113,1,4,永和區,53歲,53,53,不相關,0.0,女,1771
113,1,4,永和區,54歲,54,54,不相關,0.0,男,1525
113,1,4,永和區,54歲,54,54,不相關,0.0,女,1858
113,1,4,永和區,55歲,55,55,不相關,0.0,男,1494
113,1,4,永和區,55歲,55,55,不相關,0.0,女,1822
113,1,4,永和區,56歲,56,56,不相關,0.0,男,1482
113,1,4,永和區,56歲,56,56,不相關,0.0,女,1733
113,1,4,永和區,57歲,57,57,不相關,0.0,男,1554
113,1,4,永和區,57歲,57,57,不相關,0.0,女,1834
113,1,4,永和區,58歲,58,58,不相關,0.0,男,1515
113,1,4,永和區,58歲,58,58,不相關,0.0,女,1876
113,1,4,永和區,59歲,59,59,不相關,0.0,男,1574
113,1,4,永和區,59歲,59,59,不相關,0.0,女,1880
113,1,4,永和區,60歲,60,60,不相關,0.0,男,1557
113,1,4,永和區,60歲,60,60,不相關,0.0,女,1828
113,1,4,永和區,61歲,61,61,不相關,0.0,男,1533
113,1,4,永和區,61歲,61,61,不相關,0.0,女,1936
113,1,4,永和區,62歲,62,62,不相關,0.0,男,1534
113,1,4,永和區,62歲,62,62,不相關,0.0,女,1850
113,1,4,永和區,63歲,63,63,不相關,0.0,男,1557
113,1,4,永和區,63歲,63,63,不相關,0.0,女,1847
113,1,4,永和區,64歲,64,64,不相關,0.0,男,1469
113,1,4,永和區,64歲,64,64,不相關,0.0,女,1935
113,1,4,永和區,65歲,65,65,不相關,0.0,男,1512
113,1,4,永和區,65歲,65,65,不相關,0.0,女,1884
113,1,4,永和區,66歲,66,66,不相關,0.0,男,1383
113,1,4,永和區,66歲,66,66,不相關,0.0,女,1792
113,1,4,永和區,67歲,67,67,不相關,0.0,男,1442
113,1,4,永和區,67歲,67,67,不相關,0.0,女,1859
113,1,4,永和區,68歲,68,68,不相關,0.0,男,1434
113,1,4,永和區,68歲,68,68,不相關,0.0,女,1868
113,1,4,永和區,69歲,69,69,不相關,0.0,男,1389
113,1,4,永和區,69歲,69,69,不相關,0.0,女,1805
113,1,4,永和區,70歲,70,70,不相關,0.0,男,1378
113,1,4,永和區,70歲,70,70,不相關,0.0,女,1759
113,1,4,永和區,71歲,71,71,不相關,0.0,男,1402
113,1,4,永和區,71歲,71,71,不相關,0.0,女,1848
113,1,4,永和區,72歲,72,72,不相關,0.0,男,1315
113,1,4,永和區,72歲,72,72,不相關,0.0,女,1772
113,1,4,永和區,73歲,73,73,不相關,0.0,男,1184
113,1,4,永和區,73歲,73,73,不相關,0.0,女,1515
113,1,4,永和區,74歲,74,74,不相關,0.0,男,1081
113,1,4,永和區,74歲,74,74,不相關,0.0,女,1390
113,1,4,永和區,75歲,75,75,不相關,0.0,男,923
113,1,4,永和區,75歲,75,75,不相關,0.0,女,1226
113,1,4,永和區,76歲,76,76,不相關,0.0,男,868
113,1,4,永和區,76歲,76,76,不相關,0.0,女,1065
113,1,4,永和區,77歲,77,77,不相關,0.0,男,564
113,1,4,永和區,77歲,77,77,不相關,0.0,女,813
113,1,4,永和區,78歲,78,78,不相關,0.0,男,541
113,1,4,永和區,78歲,78,78,不相關,0.0,女,665
113,1,4,永和區,79歲,79,79,不相關,0.0,男,521
113,1,4,永和區,79歲,79,79,不相關,0.0,女,750
113,1,4,永和區,80歲,80,80,不相關,0.0,男,470
113,1,4,永和區,80歲,80,80,不相關,0.0,女,683
113,1,4,永和區,81歲,81,81,不相關,0.0,男,469
113,1,4,永和區,81歲,81,81,不相關,0.0,女,685
113,1,4,永和區,82歲,82,82,不相關,0.0,男,375
113,1,4,永和區,82歲,82,82,不相關,0.0,女,652
113,1,4,永和區,83歲,83,83,不相關,0.0,男,352
113,1,4,永和區,83歲,83,83,不相關,0.0,女,585
113,1,4,永和區,84歲,84,84,不相關,0.0,男,277
113,1,4,永和區,84歲,84,84,不相關,0.0,女,525
113,1,4,永和區,85歲,85,85,不相關,0.0,男,216
113,1,4,永和區,85歲,85,85,不相關,0.0,女,458
113,1,4,永和區,86歲,86,86,不相關,0.0,男,242
113,1,4,永和區,86歲,86,86,不相關,0.0,女,442
113,1,4,永和區,87歲,87,87,不相關,0.0,男,183
113,1,4,永和區,87歲,87,87,不相關,0.0,女,348
113,1,4,永和區,88歲,88,88,不相關,0.0,男,152
113,1,4,永和區,88歲,88,88,不相關,0.0,女,302
113,1,4,永和區,89歲,89,89,不相關,0.0,男,111
113,1,4,永和區,89歲,89,89,不相關,0.0,女,260
113,1,4,永和區,90歲,90,90,不相關,0.0,男,122
