民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue2,是（欄位說明僅存於新北市統計年報）,3502.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue3,是（欄位說明僅存於新北市統計年報）,0.4726
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue4,是（欄位說明僅存於新北市統計年報）,10511.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue5,是（欄位說明僅存於新北市統計年報）,0.3639
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue6,是（欄位說明僅存於新北市統計年報）,1498.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue7,是（欄位說明僅存於新北市統計年報）,1974.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue8,是（欄位說明僅存於新北市統計年報）,985.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue9,是（欄位說明僅存於新北市統計年報）,3993.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue10,是（欄位說明僅存於新北市統計年報）,1019.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue11,是（欄位說明僅存於新北市統計年報）,4544.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue12,是（欄位說明僅存於新北市統計年報）,0.0
77,,,,,,,欄位未定義,0.0,,社福,新北市政府主計處,低收入戶人數及生活扶助,1988,itemvalue13,是（欄位說明僅存於新北市統計年報）,0.0
