民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
107,,1,板橋區,,,,無年齡維度,0.0,女,不識字,未分,2791
107,,1,板橋區,,,,無年齡維度,0.0,女,二專,畢業,15732
107,,1,板橋區,,,,無年齡維度,0.0,女,二專,肄業,2081
107,,1,板橋區,,,,無年齡維度,0.0,女,五專前三年,肄業,1700
107,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,畢業,10965
107,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,肄業,615
107,,1,板橋區,,,,無年齡維度,0.0,女,博士,畢業,443
107,,1,板橋區,,,,無年齡維度,0.0,女,博士,肄業,284
107,,1,板橋區,,,,無年齡維度,0.0,女,國中,畢業,27331
107,,1,板橋區,,,,無年齡維度,0.0,女,國中,肄業,2976
107,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),畢業,439
107,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),肄業,88
107,,1,板橋區,,,,無年齡維度,0.0,女,國小,畢業,28828
107,,1,板橋區,,,,無年齡維度,0.0,女,國小,肄業,2551
107,,1,板橋區,,,,無年齡維度,0.0,女,大學,畢業,55557
107,,1,板橋區,,,,無年齡維度,0.0,女,大學,肄業,14301
107,,1,板橋區,,,,無年齡維度,0.0,女,碩士,畢業,10320
107,,1,板橋區,,,,無年齡維度,0.0,女,碩士,肄業,2955
107,,1,板橋區,,,,無年齡維度,0.0,女,自學,未分,824
107,,1,板橋區,,,,無年齡維度,0.0,女,高中,畢業,15181
107,,1,板橋區,,,,無年齡維度,0.0,女,高中,肄業,6594
107,,1,板橋區,,,,無年齡維度,0.0,女,高職,畢業,39483
107,,1,板橋區,,,,無年齡維度,0.0,女,高職,肄業,6932
107,,1,板橋區,,,,無年齡維度,0.0,男,不識字,未分,314
107,,1,板橋區,,,,無年齡維度,0.0,男,二專,畢業,13614
107,,1,板橋區,,,,無年齡維度,0.0,男,二專,肄業,2861
107,,1,板橋區,,,,無年齡維度,0.0,男,五專前三年,肄業,1157
107,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,畢業,12171
107,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,肄業,948
