民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,migrants,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,migrants,2
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,other,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,other,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,1
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,1
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,合計,3
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,合計,4
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,國外,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,國外,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,桃園市,1
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,桃園市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺中市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺北市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺北市,2
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺南市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺南市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺灣省,1
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺灣省,1
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷入,高雄市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷入,高雄市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,migrants,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,migrants,2
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,other,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,other,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,1
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,3
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,合計,4
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,合計,6
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,國外,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,國外,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,新北市內,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,新北市內,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,桃園市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,桃園市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,福建省,1
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,福建省,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺中市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺中市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺北市,2
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺北市,1
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺南市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺南市,0
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺灣省,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺灣省,2
107,1,20,石碇區,,,,無年齡維度,0.0,女,遷出,高雄市,0
107,1,20,石碇區,,,,無年齡維度,0.0,男,遷出,高雄市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,migrants,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,migrants,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,other,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,other,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,3
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,1
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,合計,6
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,合計,2
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,國外,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,國外,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,桃園市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,桃園市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺中市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺北市,2
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺北市,1
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺南市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺南市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺灣省,1
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺灣省,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷入,高雄市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷入,高雄市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,migrants,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,migrants,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,other,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,other,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,1
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,3
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,合計,5
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,合計,5
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,國外,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,國外,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,新北市內,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,新北市內,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,桃園市,2
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,桃園市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,福建省,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,福建省,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺中市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺中市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺北市,1
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺北市,1
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺南市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺南市,0
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,臺灣省,1
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,臺灣省,1
107,2,20,石碇區,,,,無年齡維度,0.0,女,遷出,高雄市,0
107,2,20,石碇區,,,,無年齡維度,0.0,男,遷出,高雄市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,migrants,3
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,migrants,3
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,other,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,other,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他縣市,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他縣市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,其他鄉鎮,7
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,其他鄉鎮,3
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,合計,13
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,合計,12
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,國外,1
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,國外,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,新北市內,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,新北市內,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,桃園市,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,桃園市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,福建省,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,福建省,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺中市,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺中市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺北市,3
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺北市,7
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺南市,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺南市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,臺灣省,1
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,臺灣省,2
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷入,高雄市,1
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷入,高雄市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,migrants,3
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,migrants,3
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,other,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,other,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,1
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,5
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,合計,1
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,合計,14
107,3,20,石碇區,,,,無年齡維度,0.0,女,遷出,國外,0
107,3,20,石碇區,,,,無年齡維度,0.0,男,遷出,國外,0
