民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
106,,1,板橋區,,,,無年齡維度,0.0,女,不識字,未分,2946
106,,1,板橋區,,,,無年齡維度,0.0,女,二專,畢業,15647
106,,1,板橋區,,,,無年齡維度,0.0,女,二專,肄業,2083
106,,1,板橋區,,,,無年齡維度,0.0,女,五專前三年,肄業,1762
106,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,畢業,10902
106,,1,板橋區,,,,無年齡維度,0.0,女,五專後二年,肄業,606
106,,1,板橋區,,,,無年齡維度,0.0,女,博士,畢業,394
106,,1,板橋區,,,,無年齡維度,0.0,女,博士,肄業,299
106,,1,板橋區,,,,無年齡維度,0.0,女,國中,畢業,27492
106,,1,板橋區,,,,無年齡維度,0.0,女,國中,肄業,3054
106,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),畢業,440
106,,1,板橋區,,,,無年齡維度,0.0,女,國中(職業),肄業,93
106,,1,板橋區,,,,無年齡維度,0.0,女,國小,畢業,29312
106,,1,板橋區,,,,無年齡維度,0.0,女,國小,肄業,2631
106,,1,板橋區,,,,無年齡維度,0.0,女,大學,畢業,53154
106,,1,板橋區,,,,無年齡維度,0.0,女,大學,肄業,14101
106,,1,板橋區,,,,無年齡維度,0.0,女,碩士,畢業,9660
106,,1,板橋區,,,,無年齡維度,0.0,女,碩士,肄業,2889
106,,1,板橋區,,,,無年齡維度,0.0,女,自學,未分,870
106,,1,板橋區,,,,無年齡維度,0.0,女,高中,畢業,15013
106,,1,板橋區,,,,無年齡維度,0.0,女,高中,肄業,6613
106,,1,板橋區,,,,無年齡維度,0.0,女,高職,畢業,39443
106,,1,板橋區,,,,無年齡維度,0.0,女,高職,肄業,7287
106,,1,板橋區,,,,無年齡維度,0.0,男,不識字,未分,336
106,,1,板橋區,,,,無年齡維度,0.0,男,二專,畢業,13586
106,,1,板橋區,,,,無年齡維度,0.0,男,二專,肄業,2884
106,,1,板橋區,,,,無年齡維度,0.0,男,五專前三年,肄業,1184
106,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,畢業,12148
106,,1,板橋區,,,,無年齡維度,0.0,男,五專後二年,肄業,944
106,,1,板橋區,,,,無年齡維度,0.0,男,博士,畢業,1176
106,,1,板橋區,,,,無年齡維度,0.0,男,博士,肄業,664
106,,1,板橋區,,,,無年齡維度,0.0,男,國中,畢業,24391
106,,1,板橋區,,,,無年齡維度,0.0,男,國中,肄業,3315
106,,1,板橋區,,,,無年齡維度,0.0,男,國中(職業),畢業,395
106,,1,板橋區,,,,無年齡維度,0.0,男,國中(職業),肄業,128
106,,1,板橋區,,,,無年齡維度,0.0,男,國小,畢業,16687
106,,1,板橋區,,,,無年齡維度,0.0,男,國小,肄業,1070
106,,1,板橋區,,,,無年齡維度,0.0,男,大學,畢業,46717
106,,1,板橋區,,,,無年齡維度,0.0,男,大學,肄業,15988
106,,1,板橋區,,,,無年齡維度,0.0,男,碩士,畢業,15517
106,,1,板橋區,,,,無年齡維度,0.0,男,碩士,肄業,3707
106,,1,板橋區,,,,無年齡維度,0.0,男,自學,未分,272
106,,1,板橋區,,,,無年齡維度,0.0,男,高中,畢業,15673
106,,1,板橋區,,,,無年齡維度,0.0,男,高中,肄業,7290
106,,1,板橋區,,,,無年齡維度,0.0,男,高職,畢業,35949
106,,1,板橋區,,,,無年齡維度,0.0,男,高職,肄業,10752
106,,2,三重區,,,,無年齡維度,0.0,女,不識字,未分,2414
106,,2,三重區,,,,無年齡維度,0.0,女,二專,畢業,10833
106,,2,三重區,,,,無年齡維度,0.0,女,二專,肄業,1801
106,,2,三重區,,,,無年齡維度,0.0,女,五專前三年,肄業,799
106,,2,三重區,,,,無年齡維度,0.0,女,五專後二年,畢業,5834
106,,2,三重區,,,,無年齡維度,0.0,女,五專後二年,肄業,331
106,,2,三重區,,,,無年齡維度,0.0,女,博士,畢業,188
106,,2,三重區,,,,無年齡維度,0.0,女,博士,肄業,132
106,,2,三重區,,,,無年齡維度,0.0,女,國中,畢業,26352
106,,2,三重區,,,,無年齡維度,0.0,女,國中,肄業,2023
106,,2,三重區,,,,無年齡維度,0.0,女,國中(職業),畢業,278
106,,2,三重區,,,,無年齡維度,0.0,女,國中(職業),肄業,58
106,,2,三重區,,,,無年齡維度,0.0,女,國小,畢業,21264
106,,2,三重區,,,,無年齡維度,0.0,女,國小,肄業,2294
106,,2,三重區,,,,無年齡維度,0.0,女,大學,畢業,33518
106,,2,三重區,,,,無年齡維度,0.0,女,大學,肄業,10482
106,,2,三重區,,,,無年齡維度,0.0,女,碩士,畢業,4877
106,,2,三重區,,,,無年齡維度,0.0,女,碩士,肄業,1679
106,,2,三重區,,,,無年齡維度,0.0,女,自學,未分,554
106,,2,三重區,,,,無年齡維度,0.0,女,高中,畢業,9858
106,,2,三重區,,,,無年齡維度,0.0,女,高中,肄業,4303
106,,2,三重區,,,,無年齡維度,0.0,女,高職,畢業,28612
106,,2,三重區,,,,無年齡維度,0.0,女,高職,肄業,6349
106,,2,三重區,,,,無年齡維度,0.0,男,不識字,未分,322
106,,2,三重區,,,,無年齡維度,0.0,男,二專,畢業,9027
106,,2,三重區,,,,無年齡維度,0.0,男,二專,肄業,2297
106,,2,三重區,,,,無年齡維度,0.0,男,五專前三年,肄業,459
106,,2,三重區,,,,無年齡維度,0.0,男,五專後二年,畢業,7290
106,,2,三重區,,,,無年齡維度,0.0,男,五專後二年,肄業,554
106,,2,三重區,,,,無年齡維度,0.0,男,博士,畢業,489
106,,2,三重區,,,,無年齡維度,0.0,男,博士,肄業,347
106,,2,三重區,,,,無年齡維度,0.0,男,國中,畢業,24391
106,,2,三重區,,,,無年齡維度,0.0,男,國中,肄業,2304
106,,2,三重區,,,,無年齡維度,0.0,男,國中(職業),畢業,358
106,,2,三重區,,,,無年齡維度,0.0,男,國中(職業),肄業,102
106,,2,三重區,,,,無年齡維度,0.0,男,國小,畢業,13820
106,,2,三重區,,,,無年齡維度,0.0,男,國小,肄業,917
106,,2,三重區,,,,無年齡維度,0.0,男,大學,畢業,29894
106,,2,三重區,,,,無年齡維度,0.0,男,大學,肄業,11613
106,,2,三重區,,,,無年齡維度,0.0,男,碩士,畢業,8189
106,,2,三重區,,,,無年齡維度,0.0,男,碩士,肄業,2297
106,,2,三重區,,,,無年齡維度,0.0,男,自學,未分,160
106,,2,三重區,,,,無年齡維度,0.0,男,高中,畢業,10995
106,,2,三重區,,,,無年齡維度,0.0,男,高中,肄業,5115
106,,2,三重區,,,,無年齡維度,0.0,男,高職,畢業,26825
106,,2,三重區,,,,無年齡維度,0.0,男,高職,肄業,9247
106,,3,中和區,,,,無年齡維度,0.0,女,不識字,未分,2073
106,,3,中和區,,,,無年齡維度,0.0,女,二專,畢業,12894
106,,3,中和區,,,,無年齡維度,0.0,女,二專,肄業,1872
106,,3,中和區,,,,無年齡維度,0.0,女,五專前三年,肄業,1090
106,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,畢業,8674
106,,3,中和區,,,,無年齡維度,0.0,女,五專後二年,肄業,475
106,,3,中和區,,,,無年齡維度,0.0,女,博士,畢業,357
106,,3,中和區,,,,無年齡維度,0.0,女,博士,肄業,240
106,,3,中和區,,,,無年齡維度,0.0,女,國中,畢業,20607
106,,3,中和區,,,,無年齡維度,0.0,女,國中,肄業,2194
106,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),畢業,596
106,,3,中和區,,,,無年齡維度,0.0,女,國中(職業),肄業,80
106,,3,中和區,,,,無年齡維度,0.0,女,國小,畢業,19782
106,,3,中和區,,,,無年齡維度,0.0,女,國小,肄業,1986
106,,3,中和區,,,,無年齡維度,0.0,女,大學,畢業,41954
106,,3,中和區,,,,無年齡維度,0.0,女,大學,肄業,11061
106,,3,中和區,,,,無年齡維度,0.0,女,碩士,畢業,7359
106,,3,中和區,,,,無年齡維度,0.0,女,碩士,肄業,2268
106,,3,中和區,,,,無年齡維度,0.0,女,自學,未分,462
106,,3,中和區,,,,無年齡維度,0.0,女,高中,畢業,13851
106,,3,中和區,,,,無年齡維度,0.0,女,高中,肄業,4642
106,,3,中和區,,,,無年齡維度,0.0,女,高職,畢業,30907
106,,3,中和區,,,,無年齡維度,0.0,女,高職,肄業,5336
106,,3,中和區,,,,無年齡維度,0.0,男,不識字,未分,223
106,,3,中和區,,,,無年齡維度,0.0,男,二專,畢業,11415
106,,3,中和區,,,,無年齡維度,0.0,男,二專,肄業,2527
106,,3,中和區,,,,無年齡維度,0.0,男,五專前三年,肄業,820
106,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,畢業,10102
106,,3,中和區,,,,無年齡維度,0.0,男,五專後二年,肄業,679
106,,3,中和區,,,,無年齡維度,0.0,男,博士,畢業,981
106,,3,中和區,,,,無年齡維度,0.0,男,博士,肄業,554
106,,3,中和區,,,,無年齡維度,0.0,男,國中,畢業,16454
106,,3,中和區,,,,無年齡維度,0.0,男,國中,肄業,2193
106,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),畢業,428
106,,3,中和區,,,,無年齡維度,0.0,男,國中(職業),肄業,83
106,,3,中和區,,,,無年齡維度,0.0,男,國小,畢業,10190
106,,3,中和區,,,,無年齡維度,0.0,男,國小,肄業,758
106,,3,中和區,,,,無年齡維度,0.0,男,大學,畢業,38696
106,,3,中和區,,,,無年齡維度,0.0,男,大學,肄業,12470
106,,3,中和區,,,,無年齡維度,0.0,男,碩士,畢業,11861
106,,3,中和區,,,,無年齡維度,0.0,男,碩士,肄業,2967
106,,3,中和區,,,,無年齡維度,0.0,男,自學,未分,153
106,,3,中和區,,,,無年齡維度,0.0,男,高中,畢業,13480
106,,3,中和區,,,,無年齡維度,0.0,男,高中,肄業,5117
106,,3,中和區,,,,無年齡維度,0.0,男,高職,畢業,27321
106,,3,中和區,,,,無年齡維度,0.0,男,高職,肄業,7684
106,,4,永和區,,,,無年齡維度,0.0,女,不識字,未分,821
106,,4,永和區,,,,無年齡維度,0.0,女,二專,畢業,7562
106,,4,永和區,,,,無年齡維度,0.0,女,二專,肄業,665
106,,4,永和區,,,,無年齡維度,0.0,女,五專前三年,肄業,436
106,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,畢業,5717
106,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,肄業,198
106,,4,永和區,,,,無年齡維度,0.0,女,博士,畢業,366
106,,4,永和區,,,,無年齡維度,0.0,女,博士,肄業,198
106,,4,永和區,,,,無年齡維度,0.0,女,國中,畢業,7615
106,,4,永和區,,,,無年齡維度,0.0,女,國中,肄業,1119
106,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),畢業,325
106,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),肄業,159
106,,4,永和區,,,,無年齡維度,0.0,女,國小,畢業,8383
106,,4,永和區,,,,無年齡維度,0.0,女,國小,肄業,718
106,,4,永和區,,,,無年齡維度,0.0,女,大學,畢業,27016
106,,4,永和區,,,,無年齡維度,0.0,女,大學,肄業,6027
106,,4,永和區,,,,無年齡維度,0.0,女,碩士,畢業,5818
106,,4,永和區,,,,無年齡維度,0.0,女,碩士,肄業,1489
106,,4,永和區,,,,無年齡維度,0.0,女,自學,未分,289
106,,4,永和區,,,,無年齡維度,0.0,女,高中,畢業,8339
106,,4,永和區,,,,無年齡維度,0.0,女,高中,肄業,2737
106,,4,永和區,,,,無年齡維度,0.0,女,高職,畢業,15622
106,,4,永和區,,,,無年齡維度,0.0,女,高職,肄業,2197
106,,4,永和區,,,,無年齡維度,0.0,男,不識字,未分,71
106,,4,永和區,,,,無年齡維度,0.0,男,二專,畢業,6075
106,,4,永和區,,,,無年齡維度,0.0,男,二專,肄業,858
106,,4,永和區,,,,無年齡維度,0.0,男,五專前三年,肄業,275
106,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,畢業,5901
106,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,肄業,307
106,,4,永和區,,,,無年齡維度,0.0,男,博士,畢業,921
106,,4,永和區,,,,無年齡維度,0.0,男,博士,肄業,366
106,,4,永和區,,,,無年齡維度,0.0,男,國中,畢業,5232
106,,4,永和區,,,,無年齡維度,0.0,男,國中,肄業,948
106,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),畢業,209
106,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),肄業,118
106,,4,永和區,,,,無年齡維度,0.0,男,國小,畢業,3551
106,,4,永和區,,,,無年齡維度,0.0,男,國小,肄業,353
106,,4,永和區,,,,無年齡維度,0.0,男,大學,畢業,24396
106,,4,永和區,,,,無年齡維度,0.0,男,大學,肄業,6724
106,,4,永和區,,,,無年齡維度,0.0,男,碩士,畢業,8824
106,,4,永和區,,,,無年齡維度,0.0,男,碩士,肄業,1826
106,,4,永和區,,,,無年齡維度,0.0,男,自學,未分,75
106,,4,永和區,,,,無年齡維度,0.0,男,高中,畢業,7000
106,,4,永和區,,,,無年齡維度,0.0,男,高中,肄業,2693
106,,4,永和區,,,,無年齡維度,0.0,男,高職,畢業,12063
106,,4,永和區,,,,無年齡維度,0.0,男,高職,肄業,2939
106,,5,新莊區,,,,無年齡維度,0.0,女,不識字,未分,1785
106,,5,新莊區,,,,無年齡維度,0.0,女,二專,畢業,12640
106,,5,新莊區,,,,無年齡維度,0.0,女,二專,肄業,1713
106,,5,新莊區,,,,無年齡維度,0.0,女,五專前三年,肄業,1086
106,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,畢業,6751
106,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,肄業,332
106,,5,新莊區,,,,無年齡維度,0.0,女,博士,畢業,249
106,,5,新莊區,,,,無年齡維度,0.0,女,博士,肄業,169
106,,5,新莊區,,,,無年齡維度,0.0,女,國中,畢業,24522
106,,5,新莊區,,,,無年齡維度,0.0,女,國中,肄業,2910
106,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),畢業,202
106,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),肄業,25
106,,5,新莊區,,,,無年齡維度,0.0,女,國小,畢業,17371
106,,5,新莊區,,,,無年齡維度,0.0,女,國小,肄業,1836
106,,5,新莊區,,,,無年齡維度,0.0,女,大學,畢業,37802
106,,5,新莊區,,,,無年齡維度,0.0,女,大學,肄業,12003
106,,5,新莊區,,,,無年齡維度,0.0,女,碩士,畢業,5514
106,,5,新莊區,,,,無年齡維度,0.0,女,碩士,肄業,1950
106,,5,新莊區,,,,無年齡維度,0.0,女,自學,未分,328
106,,5,新莊區,,,,無年齡維度,0.0,女,高中,畢業,10365
106,,5,新莊區,,,,無年齡維度,0.0,女,高中,肄業,5177
106,,5,新莊區,,,,無年齡維度,0.0,女,高職,畢業,33333
106,,5,新莊區,,,,無年齡維度,0.0,女,高職,肄業,6715
106,,5,新莊區,,,,無年齡維度,0.0,男,不識字,未分,191
106,,5,新莊區,,,,無年齡維度,0.0,男,二專,畢業,10175
106,,5,新莊區,,,,無年齡維度,0.0,男,二專,肄業,2261
