民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,方向,對象地區,人數
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,桃園市,2
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,桃園市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,福建省,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,福建省,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺中市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺中市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺北市,5
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺北市,8
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺南市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺南市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,臺灣省,11
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,臺灣省,8
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷入,高雄市,2
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷入,高雄市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,migrants,27
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,migrants,14
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,other,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,other,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,其他縣市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,其他縣市,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,其他鄉鎮,12
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,其他鄉鎮,14
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,合計,39
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,合計,39
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,國外,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,國外,1
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,新北市內,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,新北市內,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,桃園市,5
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,桃園市,6
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,福建省,0
109,2,28,貢寮區,,,,無年齡維度,0.0,男,遷出,福建省,0
109,2,28,貢寮區,,,,無年齡維度,0.0,女,遷出,臺中市,2
